Title,Year Released,Media Type,Movie Duration,Audience Rating,Audience Vote Count,Metacritic Score,Plot Description
64. Aranmanai 4,2024,MOVIE,2h 28m,5.2,1.7K,NA,"After his sister's suspicious death, a man decides to discover the hidden truth, setting off a chasm for chaos and terror."
65. Jamnapaar,2024–,TV SERIES,NA,8.3,3.1K,NA,"A coming of age journey of Shantanu Bansal aka Shanky from Laxmi Nagar, East Delhi, from disowning his Jamnapaar identity to finally embracing his roots and being proud in the highly competitive backdrop of chartered accountancy life."
66. Bastar: The Naxal Story,2024,MOVIE,2h 4m,6.4,2.9K,NA,Based on the real-life incidents of Naxals in Chattisgarh - The Bastar rebellion broke out in 1910 in present day Chattisgarh.
67. Murder Mubarak,2024,MOVIE,2h 20m,5.9,50K,NA,"During a murder investigation, a non-traditional police officer turns a spotlight on an array of suspects. He steps into their world as an outsider, only to find there is so much more than what meets the eye."
68. Inspector Rishi,2024–,TV SERIES,NA,7.2,2.3K,NA,"A skeptic crime branch Inspector Rishi Nandhan, assisted by two sub-inspectors Ayyanar and Chitra, investigates a series of bizarre murders in a small mountain village, supposedly committed by a deadly forest spirit called the Vanaratchi."
69. TVF Pitchers,2015–2022,TV SERIES,NA,9.1,73K,NA,A story of trials and tribulations of four young entrepreneurs who quit their day jobs in order to pursue their start up venture.
70. Sharmajee Ki Beti,2024,MOVIE,1h 56m,5.5,345,NA,"Multi-generational ensemble about the modern, middle-class female experience and the lives of urban women, all with the common surname of Sharma."
71. Merry Christmas,2024,MOVIE,2h 24m,6.9,27K,NA,Two strangers meet on a fateful Christmas Eve. A night of delirious romance turns into a nightmare. Revealing anything more would be a crime.
72. Mastram,2020,TV SERIES,NA,6.9,2.5K,NA,"Meet Mastram, the quintessential writer of the 80s who spoke the lingo of the Hindi heartland - literally. The 10 episodes feature stories of passion intertwined with turbulent day-to-day scenarios from Mastram's real life."
73. Amar Singh Chamkila,2024,MOVIE,2h 25m,7.9,14K,NA,"Follows the life of pop star duo Amar Singh Chamkila and Amarjot Kaur, whose songs that were social commentaries or devotionals became massive hits in the 80's."
74. Drishyam,2015,MOVIE,2h 43m,8.2,96K,NA,"Desperate measures are taken by a man who tries to save his family from the dark side of the law, after they commit an unexpected crime."
