Title,Year Released,Media Type,Movie Duration,Audience Rating,Audience Vote Count,Metacritic Score,Plot Description
739. Yes Boss,1997,MOVIE,2h 43m,6.7,14K,NA,"Rahul Joshi wants to be a successful businessman so he works hard for his boss Siddharth. One day Rahul meets Seema, an up and coming model, and he feels like he's finally met his match. Will Seema fall for Rahul?"
740. It's Entertainment,2014,MOVIE,2h 20m,4.5,9.7K,NA,"Akhil, an underdog and a failure, comes to know that his real father is a rich diamond merchant who has just passed away. When he goes to retrieve his wealth, he learns that a dog has inherited it."
741. Nympho: The Lust Story,2020,MOVIE,1h 44m,5.3,57,NA,Nympho is a lust story of a girl called Rachael. She is a nymphomaniac. She is a sex addict. She is not a single man woman.
742. Dhamaka,2021,MOVIE,1h 43m,6.8,43K,NA,"Reassigned from TV to radio, a frustrated anchor sees both danger and opportunity when he receives threatening calls on the air."
743. Dr. Arora,2022–,TV SERIES,NA,7.1,1.8K,NA,"The web series focuses on the travels of Dr. Vishesh Arora, a sex consultant from a small town. The latest creation by Imtiaz Ali focuses on the doctor and his variety of clients who all are connected to each other."
744. Kayamath,2007–2009,TV SERIES,NA,5.4,312,NA,The story centers around Praachi - a simple girl with dreams in her eyes. Praachi draws her strength from her father Inder Goenka . Praachi's life is completely transformed when her father dies. Circumstances change her life.
745. Robber,2013,MOVIE,2h 16m,7.4,17K,NA,"An aristocrat's daughter falls in love with a visiting archaeologist, but he holds a secret that could drive them apart."
746. Simmba,2018,MOVIE,2h 38m,5.5,22K,NA,Simmba enjoys all the perks of being an amoral and unethical police officer until a life-changing event forces him to choose the righteous path.
747. House of Lies,2024,MOVIE,1h 22m,4.1,143,NA,"After Albert's murder on his birthday, Officer Rajeev investigates numerous suspects, uncovering lies and seeking the mastermind behind the seemingly perfect Pinto House."
748. Waltair Veerayya,2023,MOVIE,2h 35m,6.2,7.7K,NA,A fisherman who engages in smuggling accepts a request from a disheveled police officer in order to use it to his personal advantage
749. #Home,2021,MOVIE,2h 38m,8.8,16K,NA,"Oliver Twist (Indrans) wants to be tech-savvy and become a better companion to his two sons, who spend more time on their phones than with their loved ones."
750. Garam Masala,2005,MOVIE,2h 26m,6.8,17K,NA,A rib tickling tale of two flirts who constantly flirt with women despite one of them being engaged. Chaos ensues when the fiancé finds out that her to-be groom is cheating on her.
751. Kick,2014,MOVIE,2h 26m,6.0,73K,NA,"An adrenaline junkie walks away from a whirlwind romance and embraces a new life as a thief, though he soon finds himself pursued by veteran police officer and engaged in a turf war with a local gangster."
752. Luka Chuppi,2019,MOVIE,2h 6m,6.4,13K,NA,"Pretending to be married in order to cohabitate, a small-town couple lands in endless awkward situations to hide the truth from their orthodox families."
753. Double XL,2022,MOVIE,2h 8m,4.6,4.5K,NA,The journey of two plus-size women Rajshree Trivedi from Meerut and Saira Khanna from New Delhi as they navigate society's beauty standards.
754. Mukhbir: The Story of a Spy,2022–,TV SERIES,NA,7.6,2.4K,NA,"After the Sino-India war, a highly trained Indian spy enters Pakistan on a mission to gather crucial intelligence and stop Pakistan from launching an attack against India. Will he succeed?"
755. Sitaare Zameen Par,2024,MOVIE,NA,NA,NA,NA,NA
756. Total Dhamaal,2019,MOVIE,2h 10m,4.2,7.9K,NA,A group of people learn about a hidden treasure and then they race to find it and claim it.
757. Titli,2014,MOVIE,1h 56m,7.5,5.2K,NA,"Titli, the youngest member of a car-jacking brotherhood wants to escape the family business. He and his wife form a pact to set free from their family roots. But is escape possible?"
758. Dushman,1998,MOVIE,2h 25m,6.8,2.2K,NA,A woman goes on a hunt to find her twin sister's rapist and murderer.
759. Double Dhamaal,2011,MOVIE,2h 18m,4.0,4.6K,NA,Four slackers decide to avenge their humiliation at the hands of a con-man.
760. Karwaan,2018,MOVIE,1h 54m,7.6,18K,NA,Two friends and a chirpy teenager take a road trip from Bangalore to Kochi.
761. Satyameva Jayate 2,2021,MOVIE,2h 18m,3.4,16K,NA,"Satyameva Jayate 2 revolves around the fight against injustice and misuse of power. From police and politicians to industrialists and a common man, the film will explore corruption in all spheres."
762. Welcome,2007,MOVIE,2h 30m,7.1,26K,NA,"A man falls in love with a beautiful woman, but later discovers that her brothers are gangsters."
763. Footfairy,2020,MOVIE,1h 55m,4.6,1.5K,NA,"When a serial killer with a foot fetish goes on the loose in Mumbai targetting young women, CBI officer Vivan Deshmukh is tasked with finding the murderer. Will he succeed?"
764. Paheli,2005,MOVIE,2h 20m,6.4,14K,NA,A folk tale - supernatural love story about a ghost who falls in love with a newlywed woman.
765. Shootout at Wadala,2013,MOVIE,2h 35m,6.0,7.6K,NA,"Based on the true story of the first-ever registered encounter by the Mumbai Police, which took place on January 11, 1982. Where gangster Manya Surve was shot by dead by Inspector Isaque Bagwan."
766. Ajmer 92,2023,MOVIE,2h 21m,7.9,1.3K,NA,The true events of the gang rape and blackmailing of over one hundred school and college-age girls in Ajmer.
767. Ghulam,1998,MOVIE,2h 42m,7.2,12K,NA,An amateur boxer runs errands for a local gangster but revolts against him after the gangster kills his friend and his conscience is awakened.
768. Kesari,2019,MOVIE,2h 30m,7.4,22K,NA,"Based on an incredible true story of the Battle of Saragarhi in which an army of 21 Sikhs fought against 10,000 Afghans in 1897."
769. Sauda,2023–,TV SERIES,NA,7.1,18,NA,NA
770. Ram Setu,2022,MOVIE,2h 20m,5.3,18K,NA,An atheist archaeologist turned believer must race against time to prove the true existence of the legendary Ram Setu before evil forces destroy the pillar of India's heritage.
771. Akira,2016,MOVIE,2h 17m,5.9,4.4K,NA,"A gripping action thriller about a college girl Akira, who has grown up with the ideals of being self reliant. Her life spirals out of control when she becomes unwittingly involved in a crime involving four corrupt police officers."
772. Bard of Blood,2019–,TV SERIES,NA,6.8,12K,NA,"Ex communicated RAW agent Kabir Anand, a courageous analyst and a sleeper agent take on a covert mission in Balochistan when four Indian spies are captured; the mission soon turns south and Kabir must face his demons from the past."
773. Hungama,2003,MOVIE,2h 33m,7.6,17K,NA,"The story of a bunch of misfits whose misconception about each others backgrounds end up in a series of chaotic, yet comic outcomes."
774. Tatlubaaz,2023–,TV SERIES,NA,5.3,546,NA,"Bulbul, a notorious con-man, wants to live a rich and luxurious life; finds himself in the middle of Tatlubaazi(phishing) in Banaras. Disha and Isabelle traps Bulbul in a series of mishaps filled with loot, deceit and murder."
775. Karthik Calling Karthik,2010,MOVIE,2h 15m,7.1,14K,NA,"A much abused loner achieves success, and even wins the heart of his gorgeous co-worker, after getting early morning mysterious phone calls from someone."
776. Toilet: A Love Story,2017,MOVIE,2h 35m,7.2,23K,NA,"A woman threatens to leave her husband unless he installs a toilet in their home. To win back her love and respect, he heads out on a journey to fight against the backward society."
777. Adhura,2023,TV SERIES,NA,6.6,2.8K,NA,"A supernatural thriller set in an elite boarding school with a secret so dark, it will shake up the lives of everyone connected to it."
778. Mai,2022–,TV SERIES,NA,7.0,5.7K,NA,"A grieving mother discovers the criminals behind her daughter's tragic death, and transforms from meek to merciless to get the real story"
779. Ab Tumhare Hawale Watan Saathiyo,2004,MOVIE,3h 13m,4.4,1.8K,NA,Kunal unwillingly joins the army to maintain his family's tradition and soon finds himself fighting ruthless terrorists who want to destroy the peace and harmony between India and Pakistan.
780. Govinda Naam Mera,2022,MOVIE,2h 11m,6.5,11K,NA,"The very charming Govinda Waghmare juggles his time and love between his wife Mrs. Waghmare and his girlfriend in this dose of chaos, confusion, and laughter."
781. Special 26,2013,MOVIE,2h 24m,8.0,60K,NA,A gang of con-men rob prominent rich businessmen and politicians by posing as C.B.I and income tax officers.
782. Ssshhhh... Phir Koi Hai,2006–2009,TV SERIES,NA,6.9,618,NA,Aryaamaan a ghost buster. His mission was to cast away all kind of negative powers in the world.
783. Gurgaon,2017,MOVIE,1h 47m,6.4,2.5K,NA,Based on true event this story revolves around kidnapping of Preeto which family has come to know from midnight call. The tales revolves as to how they family will be able to track Preeto..
784. Newton,2017,MOVIE,1h 46m,7.6,21K,NA,A government clerk on election duty in the conflict ridden jungle of Central India tries his best to conduct free and fair voting despite the apathy of security forces and the looming fear of guerrilla attacks by communist rebels.
785. Ankhon Dekhi,2013,MOVIE,1h 47m,7.9,13K,NA,"After a distressing incident, a Delhi man vows to believe only what he can see, but his new ideals soon take his life in extreme directions."
786. Son Pari,2000–2001,TV SERIES,NA,6.8,1.3K,NA,A motherless child finds hope and care in a fairy.
787. Doctor G,2022,MOVIE,2h 4m,6.6,19K,NA,"Uday Gupta finds himself as the lone male resident in the Gynaecology department. His reluctance leads to chaos, confusion, comedy and eventually, great camaraderie with his fellow classmates."
788. Samay Yaatra,2023–,TV SERIES,NA,6.7,15,NA,NA
789. Thank God,2022,MOVIE,2h 1m,5.6,12K,NA,"An egoistic real estate broker in huge debts, meets with an accident.God appears in front of him and informs him that he will have to play a ""GAME OF LIFE"". If he win, he will be sent back to earth and if not, he will be sent to hell."
790. Kaho Naa... Pyaar Hai,2000,MOVIE,2h 52m,6.9,17K,NA,A young girl meets the doppelganger of her deceased boyfriend and now has a chance to find the people who have murdered him.
791. Humse Hai Liife,2011–,TV SERIES,NA,7.6,123,NA,A show revolves around a a small town girl who aspires to become a boxer and faces many difficulties to achieve her goal.
792. Hum Hain Rahi Pyar Ke,1993,MOVIE,2h 43m,7.3,6.3K,NA,"Rahul Malhotra (Aamir Khan) is the manager of the heavily in debt family business. He is also the guardian of his dead sister's mischievous kids. Rahul hires Vaijayanti (Juhi Chawla) as governess. Vaijayanti is a runaway from home as she does not want to marry the man her orthodox family has chosen for her. Predictably, Rahul and Vaijayanti fall in love. Maya (Navneet Nishan), a rich girl in love with Rahul tries to ruin his family and his business."
793. Itna Karo Na Mujhe Pyaar,2014–2015,TV SERIES,NA,7.8,269,NA,"The story of a couple, Nachiket Khanna (Neil) and Ragini Patel, who are driven apart, ironically because of the intense love they shared. Neil, a doctor and Ragini, a nurse have four kids together but their marriage breaks due to a misunderstanding. Post the divorce, Neil moves to America with two of their kids and Ragini stays back in India with two kids."
794. Nayak: The Real Hero,2001,MOVIE,3h 7m,7.8,18K,NA,"A man accepts a challenge by the chief minister of Maharashtra to run the state for one day, and makes such a success of it that soon he is embroiled in political intrigue."
795. Lage Raho Munna Bhai,2006,MOVIE,2h 24m,8.0,51K,NA,Munna Bhai embarks on a journey with Mahatma Gandhi in order to fight against a corrupt property dealer.
796. Dream Girl,2019,MOVIE,2h 12m,7.0,17K,NA,"Rom-com Movie, directed by Raaj Shaandilyaa, stars Ayushmann Khurrana who plays a 'dream girl'. In every love story, there is always one trying to win the heart of the other, who could be the 'dream girl'."
797. Shanghai,2012,MOVIE,2h,7.2,11K,NA,Prime leader of a campaign against a big government project is killed in what appears to be a road accident. An IAS officer is ordered to probe the incident and the veils of falsehood begin to drop.
798. Plan A Plan B,2022,MOVIE,1h 45m,4.6,3.4K,NA,"Follows a matchmaker who believes marriage is for everyone except herself, and a successful divorce lawyer with a secret, who cross paths, and explores if opposites coexist or attract."
799. Decoupled,2021–,TV SERIES,NA,7.9,8.5K,NA,"Follows a writer and his wife who announce their divorce with a party, which ends up exposing other absurd relationships in their world."
800. Sharmaji Namkeen,2022,MOVIE,1h 59m,7.5,11K,NA,A light-hearted coming-of-age story of a lovable 60-year-old-man.
801. Aar Ya Paar,2022–,TV SERIES,NA,7.4,1.2K,NA,A valiant tribal archer becomes a deadly assassin to safeguard his tribe from the merciless modern world.
802. Laakhon Mein Ek,2017–,TV SERIES,NA,8.2,4.1K,NA,Dr. Shreya is posted in Sitlapur village to conduct a cataract camp but challenges begin unfolding one after the other. She keeps fighting the system but the question remains whether she will change the system or the system will change her?
803. Sonchiriya,2019,MOVIE,2h 23m,7.9,13K,NA,"Set in the Chambal valley, the film follows the story of a legion of dreaded, warring dacoits who once terrorized the Indian heartlands."
804. Hero Bhakti Hi Shakti Hai,2005–2007,TV SERIES,NA,7.3,557,NA,"It show is about the heroic deeds and adventures of a superhero called Hero, who is bestowed with out-of-this-world magical powers by the Goddess Durga to help him fight the criminals and supervillains."
805. Pippa,2023,MOVIE,2h 19m,6.2,2.5K,NA,A young Indian Army captain from the 45 Cavalry regiment commanding the amphibious PT-76 war tank comes of age as he and his two siblings fight to liberate Bangladesh in the Indo-Pakistani war of 1971.
806. Badhaai Do,2022,MOVIE,2h 27m,7.0,21K,NA,Shardul Thakur Flaglot and Suman Singh enter into a marriage of convenience but chaos ensues when her unhinged girlfriend comes to stay with them.
807. Imli Bhabhi,2023–,TV SERIES,NA,7.3,21,NA,NA
808. Bol Bachchan,2012,MOVIE,2h 35m,5.6,9.9K,NA,"All hell breaks loose when a Muslim man breaks a temple lock to save a little child, thus for his safety keeps a Hindu name, where he starts making web of lies."
809. Tadka,2022,MOVIE,1h 55m,6.7,2K,NA,"A middle-aged Tukaram is passionate about food and archaeology but a misplaced call from Madhura that adds the tadka to his life. While love simmers, Nicole and Sidharth's story spices up too."
810. Ta Ra Rum Pum,2007,MOVIE,2h 33m,5.7,5.7K,49,Ace car racer RV and his wife have the world at their feet. But he has an accident and his world is turned upside down. Can he reclaim his lost glory?
811. Himmatwala,2013,MOVIE,2h 30m,1.7,9.3K,NA,"When a temple priest commits suicide after being dishonored by an evil landlord, his son returns to his native village on a mission of vengeance."
812. Indian Matchmaking,2020–,TV SERIES,NA,6.3,4.4K,NA,"Matchmaker Sima Taparia guides clients in the U.S. and India in the arranged marriage process, offering an inside look at the custom in a modern era."
813. Karmma Calling,2024–,TV SERIES,NA,5.6,682,NA,An emotionally troubled young woman sets out to exact revenge against the people who wronged her father.
814. Thank You,2011,MOVIE,2h 5m,4.8,6.4K,NA,Three wives engage the services of a private investigator after they suspect their respective husbands of infidelity.
815. Cubicles,2019–,TV SERIES,NA,8.2,8.7K,NA,"Follows the chronicles of Piyush, a typical first jobber & the people around him."
816. Chalte Chalte,2003,MOVIE,2h 47m,6.5,17K,NA,A man pursues a woman who is already engaged and eventually gets married to her. Differences between the two lead to a bitter separation that threatens to destroy their relationship forever.
817. Love Aaj Kal,2009,MOVIE,2h 8m,6.8,17K,NA,An old-fashioned romantic tells his personal love story to a modern man who has just broken up with his girlfriend. Has love really ever changed?
818. Murivu,2024,MOVIE,1h 42m,9.5,370,NA,"Master Raghuvaran runs a trust for abandoned and autistic individuals. A villager sexually abuses a girl, leading Master and his students to confront the perpetrator, Rajeevan. The story explores their quest for justice."
819. Aankhen,2002,MOVIE,2h 45m,7.4,14K,NA,"After a temperamental man is unceremoniously stripped of his duties as a bank manager, he decides to seek revenge by robbing the bank, for which he trains three blind men."
820. Chhota Bheem and the Curse of Damyaan,2024,MOVIE,2h 25m,7.6,2.1K,NA,Bheem and his gang travel to the past to king Damyaan and stop him from being immortal.
821. Singh Is King,2008,MOVIE,2h 15m,5.8,17K,NA,"A comic caper about Happy Singh, a Punjabi villager who goes through a series of misadventures and eventually becomes the King of the Australian underworld."
822. Long Live Brij Mohan,2017,MOVIE,1h 45m,6.5,3.9K,NA,"A man fakes his own death. Unfortunately for him, starting a new life with a new identity will only bring him more problems."
823. Alaxmi: Hamari Super Bahu,2012–2013,TV SERIES,NA,8.8,30,NA,Alaxmi is a walking talking mischief maker.
824. Black Justice,2023,TV SERIES,NA,8.4,245,NA,Pandey aka J.P. is practicing lawyer in sessions court and supreme court of India. JP is very honest whose only aim is to speak for the justice. J.P. decides to file a PIL for the reforms in current judicial system.
825. Company,2002,MOVIE,2h 22m,8.0,16K,NA,"A small-time gangster named Chandu teams up with Malik, a low-level enforcer for a criminal syndicate. Together they eliminate all their enemies, becoming the most feared gangsters in Mumbai."
826. Mumbai Diaries,2010,MOVIE,1h 40m,7.0,14K,55,"The lives of four people intersect in Mumbai: a washer-man who wants to become an actor, a banker-turned-photographer, a painter looking for inspiration, and a newly-married immigrant who journals her experiences on home video."
827. Dasvidaniya,2008,MOVIE,1h 53m,7.8,6.6K,NA,"A man who loves to make ""to-do lists"" makes one last bucket list when he realizes he is about to die."
828. Pukaar Dil Se Dil Tak,2024–,TV SERIES,NA,8.8,36,NA,A mother separated from her daughters by a cruel scheme unknowingly crosses paths with them. They must confront the antagonist who tore their family apart. A heartfelt drama about a family's struggle to reunite despite adversity.
829. Delhi-6,2009,MOVIE,2h 21m,6.2,8.5K,45,"In the ancient walled city of Delhi, an American-born Indian finds himself on an unexpected inner journey as he learns about himself and his roots."
830. The Stoneman Murders,2009,MOVIE,1h 35m,7.3,3.5K,NA,"In 1980s Bombay, a serial killer starts targeting homeless street dwellers, whilst a suspended police officer attempts to solve the case."
831. Nagin,1976,MOVIE,3h,6.1,524,NA,While Hunting a group kills a Male Shape Shifting Snake so his lover Snake takes female form to kill each hunter one by one. One of the hunter recognizes this plot he sets out to stop Shape shifting Nagin.
832. Dhamaal,2007,MOVIE,2h 16m,7.5,18K,NA,"Four lazy slacker conmen buddies who are jobless, homeless and broke learn about the secret of a hidden treasure from a dying thief and later embark on a race against time to find the mobster's buried treasure and claim it while being pursued by a determined police inspector who is hellbent to get the treasure all by himself."
833. Khosla Ka Ghosla!,2006,MOVIE,2h 15m,8.2,25K,NA,A Delhi-based retired middle-class man tries half-heartedly to get his land back from a swindling property dealer with the help of his sons and their friends.
834. Sold,2014,MOVIE,1h 34m,6.8,2K,49,A girl risks everything for freedom after being trafficked from her mountain village in Nepal to a brothel in India.
835. Bang Bang,2014,MOVIE,2h 33m,5.6,26K,NA,"A young bank receptionist gets mixed up with Rajveer Nanda, a man who has a mysterious background."
836. Bombay Velvet,2015,MOVIE,2h 29m,5.5,6.5K,NA,An ordinary man goes against all odds and forges his destiny to become a 'Big Shot'.
837. Cadaver,2022,MOVIE,2h 3m,6.6,3.7K,NA,A high profile murder baffles the cops when a prison inmate claims responsibility and promises more deaths. Will the police surgeon Bhadra crack this mystery?
838. Secret Superstar,2017,MOVIE,2h 30m,7.8,30K,NA,A talented teenage singer-songwriter living amid domestic abuse becomes a YouTube sensation after a video in which she hides her identity goes viral.
839. Holiday,2014,MOVIE,2h 40m,7.2,30K,NA,"A military officer attempts to hunt down a terrorist, destroy a terrorist gang and deactivate the sleeper cells under its command."
840. Shabaash Mithu,2022,MOVIE,2h 36m,5.6,8.3K,NA,"A biopic based on the life and struggles of Mithali Raj, Indian Cricketer, and captain of the Indian National Cricket team."
841. Backwaters,2022,MOVIE,NA,NA,NA,NA,Based on a series of missing children from Kerala - the film looks at how even God is not aware of what has happened to the missing children from his own country- especially the missing case of Rahul Raju
842. Chhota Bheem and the Curse of Damyaan,2012,MOVIE,1h 28m,6.5,422,NA,Bheem and his friend should destroy damyaan along with (the book of magi) to free them from his prison and to save their city
843. English Vinglish,2012,MOVIE,2h 14m,7.8,40K,NA,"A quiet, sweet tempered housewife endures small slights from her well-educated husband and daughter every day because of her inability to speak and understand English."
844. Chaahenge Tumhe Itnaa,2024–,TV SERIES,NA,8.8,28,NA,"Father-in-law supports daughter-in-law's dreams, embracing fatherly role. She faces dilemma: new love or past loyalty. Will she choose love or stay devoted to sense of gratitude? Story explores her romantic conflict and relationships."
845. Shootout at Byculla,2024,MOVIE,NA,NA,NA,NA,It would be Based On JJ Hospital Shootout Story in 1992. Arun Gawli Gang Killed Haseena parkar's husband And later how Dawood Ibrahim gang took avenge from Gawli Gang.
846. Chef,2017,MOVIE,2h 13m,5.7,2.6K,NA,Chef Roshan Kalra sets out to find the true source of happiness and reignite his passion for food while being more present in his son's life.
847. Anand,1971,MOVIE,2h 2m,8.1,35K,NA,"The story of a terminally ill man who wishes to live life to the fullest before the inevitable occurs, as told by his best friend."
848. Pindam,2023,MOVIE,2h 38m,7.7,11K,NA,A speech-impaired six-year-old girl becomes the vessel for a powerful spirit hell-bent on destruction.
849. Ship of Theseus,2012,MOVIE,2h 20m,8.0,7.8K,NA,"The film explores questions of identity, justice, beauty, meaning and death through an experimental photographer, an ailing monk and a young stockbroker."
850. Chhota Bheem aur Krishna: Mayanagari,2011,MOVIE,1h 6m,7.5,195,NA,"After Krishna stops Maayandri from releasing her brother, Kirmada, Maayandri decides to exact revenge on him. Later, Bheem and his friends set out to rescue Krishna and defeat Maayandri."
851. Ishqbaaaz,2016–2019,TV SERIES,NA,4.9,2.7K,NA,"The story is about three brothers - Shivaay, Omkara and Rudra -- who share an unbreakable bond despite their dysfunctional family."
852. Andaz Apna Apna,1994,MOVIE,2h 40m,8.0,55K,NA,Two slackers competing for the affections of an heiress inadvertently become her protectors from an evil criminal.
853. Wake Up Sid,2009,MOVIE,2h 18m,7.6,34K,NA,"The story of a lazy Mumbai college student who does absolutely nothing, with a turn of events will Sid realize his potential in this world and become a success in the fast-paced life of Mumbai."
854. Vishwaroopam,2013,MOVIE,2h 28m,7.9,41K,NA,"When a classical dancer's suspecting wife sets an investigator behind him, a series of violent events are triggered, revealing his real identity and connection to a darker world."
855. Chaal Jeevi Laiye,2019,MOVIE,2h 17m,8.8,1.6K,NA,"In his quest to become successful, Aditya Parikh puts life on the back burner, including his Father Bipin Chandra Parikh. Infuriated and heartbroken, the father persuades his monotonous son to take an unplanned journey of a lifetime for a much needed appreciation that life deserves. Their trip to bliss soon turns into a nightmare when they meet a backpacker named Ketki Mehta. An enigma in her own way, she takes the father-son duo on a voyage that turns out to be more than they bargained for. The escapade turns out to be an experience as more surprises and realizations wait their way to happiness, opening new doorways to the meaning of life. Directed by Vipul Mehta, Produced by Rashmin Majithia and soulful Music by Sachin-Jigar, Chaal Jeevi Laiye is a film that's all about living life to the fullest."
856. Phir Aayi Hasseen Dillruba,2024,MOVIE,2h 12m,NA,NA,NA,Plot under wraps.
857. Race 2,2013,MOVIE,2h 30m,5.3,18K,NA,Ranvir treads through the world of the Indian mafia in Turkey as he looks to avenge the death of his lover and partner in crime.
858. Chhaava,2024,MOVIE,NA,NA,NA,NA,"A historical drama based on the life of Chhatrapati Sambhaji Maharaj, the son of Chhatrapati Shivaji Maharaj."
859. Dishoom,2016,MOVIE,2h 4m,5.1,8.9K,NA,"When India's top batsman goes missing in the Middle East, two mismatched cops must team up for a 36-hour manhunt before the cricket final."
860. Neal 'n' Nikki,2005,MOVIE,2h 2m,3.2,1.8K,NA,Take a joyride with Neal and Nikki as they travel all across Canada to find what they want most. And it's going to be quite a trip.
861. A Flying Jatt,2016,MOVIE,2h 31m,3.1,5.5K,NA,"Jatt is a reluctant superhero who fights crime and protects people. He meets his match in the evil Raka, who he must vanquish to save the day."
862. Dahan: Raakan Ka Rahasya,2022–,TV SERIES,NA,7.1,8.2K,NA,"A disgraced IAS Officer sets out to vindicate herself and takes up a strange case in Shilaspura, a land with occult practices."
863. Housefull 2,2012,MOVIE,2h 25m,5.4,16K,NA,A comedy of errors wherein four men help each other to fool their prospective father-in-laws creating a cascade of confusion and mayhem.
864. Chhota Bheem in the Incan Adventure,2013,MOVIE,1h 5m,8.1,79,NA,"A huge bird swoops down and kidnaps Princess Indumati. The army's scoured the whole area and the neighboring kingdoms but there's no trace of Princess Indumati. The only thing Bheem finds was strange bird-feathers from the land of Incas. Bheem and team starts searching in the forests of Mexico where Dholu-Bholu fall off into a river. Bheem and others jump in to save them but are soon carried off by the rivers currents to the shores of a desolate valley. The valley is covered with heaps and heaps of ashes all around one such mound lie near the princess bangles. The sun rises and the mounds of ashes takes the shape of humans. The Incas where they meet Princess Indumati. The Inca chief Ixaba explains with the totem pole which was source of unlimited power, such as Rouran One day one of their own traded the totem to Rouran but as soon as Rouran touched the totem pole.... the monkeys attacked Rouran. Monkeys were angered for not having protected them and on the audacity of Rouran for trying to steal them. Th cast a spell on the Incas that they would never see sleep again and hence with each setting sun the villagers turned to dust. Will Bheem save the Incas villagers & Princess Indumati."
865. Chamatkar,1992,MOVIE,2h 51m,6.5,7.1K,NA,"When Sunder loses everything, he seeks refuge in a graveyard, where he befriends a ghost."
866. Airlift,2016,MOVIE,2h 10m,7.9,59K,NA,"When Iraq invades Kuwait in August 1990, a callous Indian businessman becomes the spokesperson for more than 170,000 stranded countrymen."
867. Lucky Baskhar,2024,MOVIE,NA,NA,NA,NA,Showcases the captivating journey of an ordinary man and his triumphs .
868. Kaala,2023–,TV SERIES,NA,6.7,992,NA,A father-son tale set against the backdrop of a complex financial crime and a little-known time in the history of India and Bangladesh.
869. Kanjoos Makhichoos,2023,MOVIE,1h 56m,6.6,6.7K,NA,"Jamnaprasad Pandey is infamous in the entire town as a miser whose family is fed up with his penny-pinching habits. However, little does the family know that these savings is to fulfill his father's wish of going on a char-dhaam yatra."
870. Ek Doctor Ki Maut,1990,MOVIE,2h 2m,8.3,1.6K,NA,"After years of painstaking research at the cost of his domestic pleasure, Dr. Dipankar Roy discovers a vaccine for leprosy. The news is flashed over television and overnight, an insignificant junior doctor receives international recognition. Professional jealousy and abuse of power threaten Dr. Roy, even as the Secretary of Health reprimands him for breaking the news to the press. He is asked to report to the Director of Health. Professional colleagues Dr. Arijit Sen and Dr. Ramananda invite him to a lecture but it is merely a pretence to humiliate him. Dr. Roy suffers a mild heart attack but he refuses to go to the hospital. His wife and few others like Dr. Kundu stand by Dr. Roy, but the harassment continues; a letter from an American foundation is suppressed and Dr. Roy transferred to a remote village. The last straw is two American doctors receiving credit for discovering the same vaccine. Dr. Roy is shattered."
871. Action Replayy,2010,MOVIE,2h 9m,4.3,7K,NA,A young man tries to revive his parents' wilting marriage by traveling to the 1970s when their romance was budding and make it bloom: something more complex than he expects.
872. Chandni,1989,MOVIE,3h 6m,6.7,2.1K,NA,Fate leaves Chandni shattered as her love Rohit disappears from her life. She meets Lalit and they befriend each other until Rohit knocks on her door.
873. 1920: Horrors of the Heart,2023,MOVIE,2h 2m,2.6,4.1K,NA,A young girl walks into a world of darkness is search of revenge but darkness consumes her making her a victim of that very revenge.
874. Ungli,2014,MOVIE,1h 54m,5.8,4.2K,NA,A gang of friends decide to take justice into their own hands.
875. Aakrosh,2010,MOVIE,2h 26m,7.0,4.1K,NA,"The Central Bureau of Investigation deputes two officers to investigate the disappearance of three medical students, which they believe to be an incident of 'honour killing' in a small, closed community."
876. Kasoor,2001,MOVIE,2h 31m,6.0,1.2K,NA,"Shekhar appoints Simran, a lawyer with an impeccable record, to represent him as he was accused of murdering his wife and soon she starts falling in love with him. Little she knows that Shekhar has some darker intentions."
877. Kedarnath,2018,MOVIE,1h 56m,6.8,15K,NA,"Mansoor, a reserved and reticent Pithoo, helps pilgrims make an arduous journey upwards to the temple town. His world turns around when he meets the beautiful and rebellious Mukku who draws him into a whirlwind of intense love."
878. Gandi Kitab,2022–,TV SERIES,NA,8.8,38,NA,"Two girls obtain a book. Upon reading, they become unhinged and act according to the book's instructions."
879. Ramaiya Vastavaiya,2013,MOVIE,2h 28m,5.8,4.6K,NA,"Ram falls in love with Sona, who lives on the fields of Punjab. He follows her to her farm, where her elder brother challenges him to produce more seed on their fields. If he wins, he will be allowed to marry her."
880. Trapped,2016,MOVIE,1h 45m,7.5,14K,NA,"A man struggles to survive after he unintentionally locks himself up in a high rise devoid of food, water and electricity."
881. Dhokha,2022,MOVIE,2h 2m,6.2,12K,NA,"When a housewife with a personality disorder is taken hostage by a terrorist on the loose and a husband accused of cheating on his wife, have their own versions of reality, how do we know what the truth is?"
882. Murder 2,2011,MOVIE,2h 7m,6.3,7.8K,NA,An ex-cop is hired by a pimp to find missing call girls and the man responsible behind their abduction.
883. Bob Biswas,2021,MOVIE,2h 11m,6.7,7.9K,NA,"Bob Biswas, an insurance agent, is released from hospital after eight years in a coma and is welcomed by his wife Mary and son Benny. He has lost his memory and does not remember the past."
884. Deewane Huye Paagal,2005,MOVIE,2h 38m,5.5,5.8K,NA,"A man embarks on journey to find his love in Dubai, only to learn she has different suitors and admirers."
885. Jannat 2,2012,MOVIE,2h 30m,6.3,6.1K,NA,A dealer of illegal guns is bullied into being an informer for a cop who wants to put an end to this racket.
